supplier_id,contact,region
SUP-01,contact_SUP-01@example.com,East
SUP-02,contact_SUP-02@example.com,East
SUP-03,contact_SUP-03@example.com,South
SUP-04,contact_SUP-04@example.com,West
SUP-05,contact_SUP-05@example.com,West
SUP-06,contact_SUP-06@example.com,West
SUP-07,contact_SUP-07@example.com,West
SUP-08,contact_SUP-08@example.com,East
SUP-09,contact_SUP-09@example.com,South
SUP-10,contact_SUP-10@example.com,South
SUP-11,contact_SUP-11@example.com,East
SUP-12,contact_SUP-12@example.com,South
SUP-13,contact_SUP-13@example.com,East
SUP-14,contact_SUP-14@example.com,West
SUP-15,contact_SUP-15@example.com,East
SUP-16,contact_SUP-16@example.com,West
SUP-17,contact_SUP-17@example.com,West
SUP-18,contact_SUP-18@example.com,North
SUP-19,contact_SUP-19@example.com,East
SUP-20,contact_SUP-20@example.com,North
